code,name,name_short,name_tv,gender,function,country_code,country,country_full,nationality,nationality_full,nationality_code,height,weight,disciplines,events,birth_date
1896781,JIYANOV Ruslanbek,JIYANOV R,Ruslanbek JIYANOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,176.0,,['Football'],['Men'],2001-06-05
1896787,KHOLMATOV Diyor,KHOLMATOV D,Diyor KHOLMATOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,174.0,,['Football'],['Men'],2002-07-22
1896792,KHUSANOV Abdukodir,KHUSANOV A,Abdukodir KHUSANOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,186.0,,['Football'],['Men'],2004-02-29
1896796,MIRSAIDOV Saidazamat,MIRSAIDOV S,Saidazamat MIRSAIDOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,174.0,,['Football'],['Men'],2001-07-19
1896798,NAZAROV Vladimir,NAZAROV V,Vladimir NAZAROV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,181.0,,['Football'],['Men'],2002-06-08
1896801,NEMATOV Abduvohid,NEMATOV A,Abduvohid NEMATOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,182.0,,['Football'],['Men'],2001-03-20
1896802,NORCHAEV Khusain,NORCHAEV K,Khusain NORCHAEV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,179.0,,['Football'],['Men'],2002-02-06
1896803,ODILOV Alisher,ODILOV A,Alisher ODILOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,177.0,,['Football'],['Men'],2001-07-15
1896806,RAKHIMJONOV Asadbek,RAKHIMJONOV A,Asadbek RAKHIMJONOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,181.0,,['Football'],['Men'],2004-02-17
1896807,RAKHMONALIEV Umarali,RAKHMONALIEV U,Umarali RAKHMONALIEV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,170.0,,['Football'],['Men'],2003-08-18
1896816,YULDOSHEV Ibrokhimkhalil,YULDOSHEV I,Ibrokhimkhalil YULDOSHEV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,168.0,,['Football'],['Men'],2001-02-14
1896822,ALIKULOV Khusniddin,ALIKULOV K,Khusniddin ALIKULOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,186.0,,['Football'],['Men'],1999-04-04
1896878,SHOMURODOV Eldor,SHOMURODOV E,Eldor SHOMURODOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,190.0,,['Football'],['Men'],1995-06-29
1896883,URUNOV Oston,URUNOV O,Oston URUNOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,181.0,,['Football'],['Men'],2000-12-19
1897384,IBRAHIM ADEL,IBRAHIM ADEL,IBRAHIM ADEL,Male,Athlete,EGY,Egypt,Egypt,Egypt,Egypt,EGY,173.0,,['Football'],['Men'],2001-04-23
1900626,AKLIOUCHE Maghnes,AKLIOUCHE M,Maghnes AKLIOUCHE,Male,Athlete,FRA,France,France,France,France,FRA,183.0,,['Football'],['Men'],2002-02-25
1900641,CHERKI Rayan,CHERKI R,Rayan CHERKI,Male,Athlete,FRA,France,France,France,France,FRA,180.0,,['Football'],['Men'],2003-08-17
1900644,CHOTARD Joris,CHOTARD J,Joris CHOTARD,Male,Athlete,FRA,France,France,France,France,FRA,179.0,,['Football'],['Men'],2001-09-24
1900651,DIOUF Andy,DIOUF A,Andy DIOUF,Male,Athlete,FRA,France,France,France,France,FRA,187.0,,['Football'],['Men'],2003-05-17
1900653,DOUE Desire,DOUE D,Desire DOUE,Male,Athlete,FRA,France,France,France,France,FRA,181.0,,['Football'],['Men'],2005-06-03
1900668,KALIMUENDO Arnaud,KALIMUENDO A,Arnaud KALIMUENDO,Male,Athlete,FRA,France,France,France,France,FRA,178.0,,['Football'],['Men'],2002-01-20
1900672,KONE Manu,KONE M,Manu KONE,Male,Athlete,FRA,France,France,France,France,FRA,185.0,,['Football'],['Men'],2001-05-17
1900674,LACAZETTE Alexandre,LACAZETTE A,Alexandre LACAZETTE,Male,Athlete,FRA,France,France,France,France,FRA,175.0,,['Football'],['Men'],1991-05-28
1900680,LEPENANT Johann,LEPENANT J,Johann LEPENANT,Male,Athlete,FRA,France,France,France,France,FRA,176.0,,['Football'],['Men'],2002-10-22
